Date;User;Retweets;Favourites;Tweet
Sat Dec 12 21:28:48 CET 2015;ADnl;3;0;Ook Barack Obama, David Cameron, Mark Rutte en Sharon Dijksma zijn blij met het in Parijs gesloten klimaatakkoord http://s.ad.nl/4206820 
Sat Dec 12 19:48:43 CET 2015;David_Cameron;397;556;Today's climate change deal means our grandchildren will see we did our duty in securing the future of our planet: https://www.facebook.com/DavidCameronOfficial/posts/1093255924032058 …
Sat Dec 12 19:12:59 CET 2015;yasminsmocha;0;2;fkn David Cameron
Sat Dec 12 13:25:06 CET 2015;voorspelwinnaar;0;0;David Cameron: verschil tussen versies https://nl.wikipedia.org/w/index.php?title=David_Cameron&diff=45510956&oldid=44994954 …
Sat Dec 12 12:48:45 CET 2015;DrGertJanMulder;1;1;David Cameron heeft zijn Britse volk een referendum in het vooruitzicht gesteld. Deze zal worden gehouden voor eind dec 2017 (!) Juajuaaa
Sat Dec 12 11:11:34 CET 2015;PGKroeger;0;1;Thatcheriaanse, uiterst slimme kennisminister onder Cameron pleit tegen #Brexit http://fb.me/70eYmm9lo 
Sat Dec 12 10:10:05 CET 2015;mehdifoundation;333;75;An alarming number of people in the UK are radicalised. Let's stop the terror. Tell @David_Cameron: ban Wahhabism! https://www.change.org/p/rt-hon-david-cameron-mp-ban-wahhabism-in-the-united-kingdom …
Sat Dec 12 09:44:20 CET 2015;JeremyCorbyn4PM;363;154;Support the @DailyMirror campaign to keep the right to lifetime tenancy for council housing tenants. Sign and RT https://www.change.org/p/rt-hon-david-cameron-mp-keep-the-right-to-lifetime-tenancy-for-council-house-tenants …
Sat Dec 12 07:50:10 CET 2015;TomLondon6;118;99;Can former Labour prime minister Tony Blair please launch a ferocious attack on David Cameron who is destroying the fabric of our country?
Fri Dec 11 20:43:53 CET 2015;Harryslaststand;102;74;Whereas #DavidCameron is too busy supping with Saudi King to ever have the conscience to give real help to #refugees http://www.bbc.com/news/world-us-canada-35065008?ocid=socialflow_twitter …
Fri Dec 11 19:10:01 CET 2015;DarrelIrvine4;0;0;Utter genius #DonaldTrump pic.twitter.com/SF2YyWdmMN -- SimonGosden ( @SimonGosden) Yep! @Brendan_Surrey wilw @David_Cameron @paulrogers002
Fri Dec 11 18:12:26 CET 2015;Number10gov;116;310;The PM's Christmas card – David and Samantha Cameron return to 10 Downing Street following the 2015 general election pic.twitter.com/jc8I2JpPtq
Fri Dec 11 13:05:56 CET 2015;de_NVA;0;0;@LuisInDePels_n1 @tijnsadee Op onze Facebookpagina deelden we de voorbije weken gelijkgezinde geluiden. Zie bv.ook http://ow.ly/VKYgL 
Fri Dec 11 13:02:16 CET 2015;drjenniferad;1;3;RT http://twitter.com/nicklessismore/status/675283124847177728 … pic.twitter.com/ZLZbUtvQEf jamieoliver David_Cameron FruitAndVegKids Come on - let's all… http://twitter.com/nicklessismore/status/675283124847177728/photo/1pic.twitter.com/ZLZbUtvQEf 
Fri Dec 11 10:12:33 CET 2015;NewsFromTheSky;0;0;Voor komende zomer geen besluit over derde baan Heathrow: LONDEN - De Britse premier David Cameron he... http://bit.ly/1Y1gTec  #airnews
Fri Dec 11 10:09:38 CET 2015;gjwolfswinkel;0;0;Heeft Engeland een troefkaart in handen in de EU? Deze krant denkt van wel: http://www.telegraph.co.uk/news/politics/david-cameron/12044953/David-Cameron-is-in-danger-of-succumbing-to-a-fantasy-that-Britain-can-save-the-EU.html …
Thu Dec 10 19:03:02 CET 2015;David_Cameron;279;697;Getting into the festive spirit at No10 with some truly inspirational people. pic.twitter.com/tEVgBrXZUS
Thu Dec 10 16:16:10 CET 2015;tvdh_3;0;0;#jihadzaak lol, deze rechtspraak heeft gevolgen voor David Cameron, Hollande, Erdogan en Obama. Deden precies hetzelfde.
Thu Dec 10 14:48:29 CET 2015;EUcorrespondent;1;0;David Cameron krijgt bijval vanuit Oost-Europa voor #hervormingsplannen #EU: http://www.europeescorrespondent.nl/index.php/2015/12/10/bijval-voor-cameron-vanuit-oost-europa/ … pic.twitter.com/tEiiqSkhF2
Thu Dec 10 13:50:17 CET 2015;BNRdewereld;0;0;Verder @Ediwriter over Kim Jong-un, @AnkeTruijen over David Cameron en natuurlijk deelt @martinvisser weer uit!http://www.bnr.nl/radio/bnr-de-wereld/414745-1512/10-december-leidt-de-opkomst-van-china-tot-een-botsing-met-het-westen … #BNR
Thu Dec 10 13:14:37 CET 2015;coenraaddekat;0;0;*Kabinetsbeleid houdt bezoeker weg uit Britse bieb* Sinds David Cameron vijf jaar geleden premier werd van... http://fb.me/70rNTmlPD 
Thu Dec 10 11:42:11 CET 2015;zhey0617;0;1;@MrDDyer @David_Cameron haha genius!
Thu Dec 10 11:20:28 CET 2015;LabourEoin;90;38;Uh Oh! Cameron's claim that the UK foiled 7 terror plots conspired in Syria was a lie. Not 1 plot came from Syria. http://www.independent.co.uk/news/uk/politics/syria-air-strikes-senior-mps-back-alex-salmond-in-disputing-david-camerons-claim-that-seven-uk-a6764491.html …
Thu Dec 10 10:39:54 CET 2015;Birdseye1;0;1;@SarCatStyX @0h0h7 @AdamBomb7869 @BluehandGb @BlueHandUSA @David_Cameron @FCUnion @MayorOfLondon Merkel BO 2012=Allied. Trump GOP 1938=Axis.
Thu Dec 10 09:49:48 CET 2015;Nigel_Farage;535;501;So @David_Cameron now admits net migration at current levels "unsustainable". Only one solution: Leave EU. http://www.bbc.co.uk/news/uk-politics-35055355 …
Thu Dec 10 09:02:34 CET 2015;Ganzendijker;2;0;@Elsevier UK wil ook geen herverdeelde immigranten. Volgens mij is @David_Cameron schijtensbenauwd voor zichzelf geworden. Appeal 4 Trump!
Thu Dec 10 01:17:28 CET 2015;mehdifoundation;531;59;Want to take action against the plague of #Wahhabism? Sign the petitions to get @David_Cameron and @POTUS to ban it! http://www.theawaitedone.com/activities/2015/12/09/ban-wahhabism-in-the-uk-and-usa …
Wed Dec 09 18:55:38 CET 2015;Goedele_C;0;0;@IkStemJong Petitie om 16- en 17-jarigen stemrecht te geven in EU referendum in VK: https://www.change.org/p/david-cameron-mp-allow-16-and-17-year-olds-to-vote-in-the-eu-referendum-3 …
Wed Dec 09 13:49:26 CET 2015;Harryslaststand;289;257;The moment David Cameron stops dining with arms merchants is the moment I say Corbyn stops breaking bread with #stopthewarcoalition
Wed Dec 09 13:18:27 CET 2015;a_jongerius;9;0;@EU_Commission negeert uitkomsten van studie over uitbuiting. Niet @JunckerEU maar @David_Cameron bepaalt de agenda http://bit.ly/1Ni0RSO 
Wed Dec 09 11:49:53 CET 2015;KremlinRussia_E;107;73;Telephone conversation with British Prime Minister David Cameron http://bit.ly/1RDZpQ6 
Wed Dec 09 11:00:37 CET 2015;wwf_uk;94;43;Urge @David_Cameron to call for #COP21 deal that increases action pre-2020. We can't afford to wait! Please RT. pic.twitter.com/9CTlNNN8Ry
Wed Dec 09 08:19:03 CET 2015;noorderschrift;0;0;Speech van David Cameron en column v @robdewijk zijn aanleiding voor #GKsemantiekprijs 2015: http://www.noorderschrift.nl/gk-semantiekprijs-2015-opdracht/ … pic.twitter.com/fkBaNlRzXx
Wed Dec 09 03:07:03 CET 2015;DCameronFG;120;156;After thinking about it for a few minutes, Shelby Miller trade is Erik Bedard trade. Team gets good pitcher in trade they'll regret quickly.
Wed Dec 09 01:44:13 CET 2015;DCameronFG;72;107;The Cubs are going to be really good again next year.
Wed Dec 09 00:55:13 CET 2015;TheVujanic;75;65;ahahahahha David Cameron - You Aint No Muslim Bruv https://soundcloud.com/nasty-mcquaid/david-cameron-you-aint-no-muslim-bruv-snippet?utm_source=soundcloud&utm_campaign=wtshare&utm_medium=Twitter&utm_content=https://soundcloud.com/nasty-mcquaid/david-cameron-you-aint-no-muslim-bruv-snippet …
Tue Dec 08 23:37:41 CET 2015;SwearingSport;81;108;The sky is blue, water is wet and David Cameron is a pig shagging nonce https://twitter.com/skysportsnewshq/status/674355989739642881 …
Tue Dec 08 19:38:10 CET 2015;KTroubleyn;0;0;#Lestip #Engels: waarom is dit zo shockerend? David #Cameron waagt zich aan "slang", Britten happen naar adem http://deredactie.be/cm/vrtnieuws/ookdatnog/1.2517703 …
Tue Dec 08 19:20:51 CET 2015;LadyAodh;130;89;Anti-White #cuckservative @David_Cameron is attacking @realDonaldTrump for his pro-female immigration policy. #Trump pic.twitter.com/3BxgLWRPpV
Tue Dec 08 16:49:06 CET 2015;Elsevier;5;0;'David Cameron heeft stiekeme EU-steun bij zijn strijd tegen het uitkeringstoerisme': http://buff.ly/1YWwnx9  pic.twitter.com/z96JQh8U2Z
Tue Dec 08 16:16:06 CET 2015;NoiseyMusic;77;88;Here's David Cameron saying "You Ain't No Muslim, Bruv" over classic grime beats: http://bit.ly/1m8sjeU  pic.twitter.com/wyD5tXQezE
Tue Dec 08 14:40:35 CET 2015;NysPhilippe;0;3;Vanmorgen bij David Cameron, vanavond in Leuven: @GuyVerhofstadt over de toekomst van Europa. Volg mee op @vrtderedactie. #EKOVerhofstadt
Tue Dec 08 14:17:17 CET 2015;DavidJo52951945;229;139;David Cameron will never control UK borders,limit immigration,stop jihadis returning,he does what the EU tell him pic.twitter.com/tTa2WDgv6h
Tue Dec 08 12:42:39 CET 2015;PraveenTogadia;2;3;Veroveraars dreigen met moord! Zou zeggen stuur ze door naar @AngelaMerkelAra @MinPres @BarackObama @DavidCameron_MP http://wp.me/p1O7aM-qTp 
Tue Dec 08 09:35:54 CET 2015;ElsevierBrussel;0;0;@David_Cameron gaat mogelijk campagne voeren vóór Brexit. Tusk @eucopresident wordt onrustig. #Brexit @Elsevier http://bit.ly/1RBHyJk 
Mon Dec 07 23:39:59 CET 2015;FOMO__MOFO;0;0;hoeveel dieper kan David Cameron eigenlijk nog zakken? #hethoudtmaarnietop http://deredactie.be/permalink/1.2517703 …
Mon Dec 07 22:54:23 CET 2015;stacyherbert;301;318;David Cameron now in awkward position of having to possibly ban Trump's entry into UK for hate speech.
Mon Dec 07 22:12:25 CET 2015;SergioDiRocca;0;0;David cameron, Farklands island, vicepresidente de EEUU... #MacriCagon #cumforeveriguan pic.twitter.com/b7szENi0qQ
Mon Dec 07 22:09:33 CET 2015;kyllmore;0;0;Ook Britse premier David Cameron waagt zich aan #YouAintNoMuslimBruv http://deredactie.be/cm/vrtnieuws/videozone/nieuws/buitenland/1.2517740 …
Mon Dec 07 22:04:37 CET 2015;Willem_DeMol;0;0;Geslaagde communicatie van Cameron? #masterMPC http://deredactie.be/cm/vrtnieuws/ookdatnog/1.2517703 …
Mon Dec 07 21:52:20 CET 2015;AnneMSchwencke;1;0;Van okt. Maar nog steeds aangrijpend in zijn rauwe eerlijkheid. Britse nieuwsman geeft ongefilterd nieuws. https://youtu.be/P979HaI5qlk 
Mon Dec 07 21:18:24 CET 2015;vrtderedactie;1;0;David Cameron waagt zich aan "slang", Britten happen naar adem http://deredactie.be/permalink/1.2517703 …
Mon Dec 07 20:22:56 CET 2015;David_Cameron;140;263;I was in Carlisle today to see first-hand the work that's being done to help people affected by the terrible floods: https://youtu.be/FOl03RGk1wI 
Mon Dec 07 20:21:10 CET 2015;younusalgohar;486;124;@niallboylan4fm @MailOnline PM David Cameron should demand from PAK PM Nawaz Sharif to Ban Laal Mosque and arrest Abdul aziz hateful clergy
Mon Dec 07 18:50:30 CET 2015;Tiramarit;0;0;Voor iedereen die David Cameron altijd al eens "you ain't no Muslim, bruv" wilde horen zeggen. pic.twitter.com/gHOZfjtMJj
Mon Dec 07 15:02:02 CET 2015;PAacademie;0;0;De Britse premier David Cameron overweegt zelf de Brexit-campagne te leiden nav onvoldoende reactie uit Brussel http://ow.ly/VzqyM 
Mon Dec 07 14:56:40 CET 2015;petervheemst;0;0;"Hij bracht het beter onder woorden dan ik ooit zou kunnen".David Cameron over de man die #YouAintNoMuslimBruv riep:http://bbc.in/1RzEHAN 
Mon Dec 07 14:33:45 CET 2015;Nieuwsfeeder;0;0;Cameron: aanval in metro afschuwelijk: De Britse premier David Cameron noemt de ste... http://bit.ly/1XOZvJn  via http://unow.nl 
Mon Dec 07 13:56:43 CET 2015;joshbythesea;697;485;David Cameron saying #YouAintNoMuslimBruv https://vine.co/v/i7g6r03QWdK 
Mon Dec 07 13:48:05 CET 2015;deheadlines;0;0;Premier Cameron bezoekt overstroomde gebieden Engeland: De Britse premier David Cameron bezoekt maandag het we... http://bit.ly/1XVEQOE 
Mon Dec 07 12:35:20 CET 2015;jesuisworld2015;0;0;#jesuisworld yasergohar70: RT jesuisworld2015: #jesuisworld jesuisworld2015: #jesuisworld snomanh: #YouAintNoMusli… https://www.change.org/p/rt-hon-david-cameron-mp-ban-wahhabism-in-the-united-kingdom …
Mon Dec 07 11:46:10 CET 2015;Nieuws_;0;0;Cameron bezoekt gebied overstromingen voor crisisberaad - De Britse premier David Cameron zal vanmiddag afreize... http://ow.ly/38L0J7 
Mon Dec 07 11:02:22 CET 2015;megprice_;3917;3657;First your house is flooded, then David Cameron shows up, could your life get any worse https://twitter.com/skynews/status/673794221682368512 …
Mon Dec 07 10:27:33 CET 2015;Queen_UK;1435;1538;David Cameron is visiting flood hit Cumbria later. As if the poor sods haven't been through enough.
Mon Dec 07 09:11:27 CET 2015;davidschneider;868;558;So, David Cameron. How's the cuts to flood defences and the getting rid of the green crap working out? #cumbria http://www.theguardian.com/environment/2014/nov/19/local-authority-flood-defence-funding-cut-by-a-third-next-year?CMP=share_btn_tw …
Mon Dec 07 08:11:04 CET 2015;uitbijter;0;0;Volgens @titia_k gaat David Cameron later vandaag de 'war on water' afkondigen @NPORadio1
Mon Dec 07 07:46:57 CET 2015;De_Spindoctor;0;0;David Cameron heeft prominente partijgenoten in vertrouwelijke gesprekken laten weten dat hij mogelijk campagn... http://bit.ly/1XTOcdQ 
Mon Dec 07 07:19:34 CET 2015;DavidJo52951945;368;265;ISIS has everything to do with Islam no matter how David Cameron tries to spin it pic.twitter.com/W8miFSjYxS
Sun Dec 06 23:59:11 CET 2015;hugsterdallas;0;1;@PhoebeBeddows @leanxie_ @boohoo @David_Cameron wtaf
Sun Dec 06 23:17:07 CET 2015;jesuisworld2015;0;0;#jesuisworld jesuisworld2015: #jesuisworld jesuisworld2015: #jesuisworld snomanh: #YouAintNoMuslimBruv #NotInMyNam… https://www.change.org/p/rt-hon-david-cameron-mp-ban-wahhabism-in-the-united-kingdom …
Sun Dec 06 21:39:00 CET 2015;deheadlines;2;0;Cameron overweegt zelf Brexit-campagne te leiden: David Cameron heeft prominente partijgenoten in vertrouwelij... http://bit.ly/1XTOcdQ 
Sun Dec 06 15:00:55 CET 2015;MediaservicesEU;1;0;"Dit is weer een van David Camerons klassieke schertsvertoningen". #Assad #Syrië over #Cameron #GB http://www.telegraaf.nl/buitenland/24838315/__Assad__bombardementen_averechts__.html?utm_source=t.co&utm_medium=referral&utm_campaign=twitter …
Sun Dec 06 12:28:59 CET 2015;David_Cameron;392;615;The army has been mobilised to help those affected by Storm Desmond and floods. A COBRA meeting is happening to ensure everything is done.
Sun Dec 06 12:21:54 CET 2015;liamyoung;470;322;David Cameron has been Tory leader for ten years today. He promised to balance the books by now but debt is up, borrowing up and poverty up.
Sun Dec 06 12:10:58 CET 2015;mattsmithetc;40;15;For 70% of David Cameron's 10yrs as leader he's been ahead of his Labour opponents, in net satisfaction terms pic.twitter.com/AZaiGu6LEt
Sun Dec 06 12:03:39 CET 2015;JonAshworth;60;34;10 years of David Cameron today as Tory Leader - he promised to balance books by now, protect NHS, greenest govt ever, transparency hmmmmm
Sun Dec 06 11:56:56 CET 2015;AngusMacNeilSNP;59;52;Now that the UK bombings in Syria have been on the go for a few days - have David Cameron's promised 70,000 fighters shown up?
Sun Dec 06 11:35:05 CET 2015;PeoplesNHS;50;20;Britain's role of encouraging excessive corporate power over governments @David_Cameron http://bit.ly/1OIeiy4  RT pic.twitter.com/4BIhD7Gx54
Sun Dec 06 11:25:25 CET 2015;Telegraph;25;31;Congratulations on 10 years, David Cameron - but don't rest on your laurels http://bit.ly/1LW7tnP  pic.twitter.com/A3T0WCjmrv
Sun Dec 06 11:17:54 CET 2015;vote_leave;66;32;10 years of David Cameron as Conservative leader. 10 broken promises on EU reform http://j.mp/1Obj9oI  pic.twitter.com/I50JcQbGqK
Sun Dec 06 10:46:55 CET 2015;AdriaanBeenen;0;0;Waarom mag @David_Cameron doen wat @tonyblairoffice nog steeds wordt verweten? @volkskrant
Sun Dec 06 10:44:02 CET 2015;nja5;24;17;#Europe David Cameron to make it illegal to work illegally in the UK. The Man's a genius, #marrshow
Sun Dec 06 10:36:17 CET 2015;SkyNews;19;29;Sky's @SophyRidgeSky looks back at David Cameron's decade in charge http://trib.al/Ixpm52p  pic.twitter.com/q6eJ6BdTXj
Sun Dec 06 10:04:03 CET 2015;PeoplesNHS;60;37;. @billybragg - "Defend the NHS from privatisation. Tell @David_Cameron to exempt our #NHS from TTIP" #NHSOutOfTTIP pic.twitter.com/2aM5x3Kzqe
Sun Dec 06 09:26:53 CET 2015;Burlington_Bert;52;43;David Cameron wants to reclaim Islam from ISIS. I would prefer that he reclaimed Britain from Islam. pic.twitter.com/C3IAa2MmaJ
Sun Dec 06 09:17:54 CET 2015;BiancaJagger;38;25;Signed a petition to David Cameron, urging him to talk to peaceful #fracking protesters on hungerstrike http://you.38degrees.org.uk/petitions/talk-to-the-peaceful-anti-fracking-protester-on-hunger-strike-opposite-10-downing-st?bucket= … @38_degrees
Sun Dec 06 09:00:52 CET 2015;cocoandghosty3h;27;20;#davidcameron historic relationship Scotland from prior visit:Samantha knows score:wonder when dave next plan visit? pic.twitter.com/x80tYjchgQ
Sun Dec 06 08:32:41 CET 2015;BiancaJagger;50;28;I Urge @David_Cameron to Talk to the Peaceful #AntiFracking Protester on Hunger Strike Opposite 10 Downing St Pls RT http://ow.ly/3ywk4b 
Sun Dec 06 06:08:43 CET 2015;puruohit;0;0;Retweeted djoegoedjoegoe ( @Marktmedia123): @PraveenTogadia @BarackObama @David_Cameron @AngelaMerkelAra... http://fb.me/3HOhJ0gEh 
Sun Dec 06 05:28:01 CET 2015;BBCPolitics;19;27;Prime Minister David Cameron reaches his 10th anniversary as leader of the Conservative Party. http://bbc.in/1QnLg8L 
Sun Dec 06 05:26:56 CET 2015;BBCNews;55;76;Cameron reaches decade as Tory leader http://bbc.in/1NB3QFe 
Sun Dec 06 04:33:48 CET 2015;MFI_Media;171;40;@HiddenTreasure4 @younusalgohar @David_Cameron BAN #Wahhabloodism these radical nuts have no right 2 freedom of speech openly hate preaching
Sun Dec 06 04:27:35 CET 2015;HiddenTreasure4;6;7;@younusalgohar @David_Cameron @niallboylan4fm it's already so late. What are you waiting for? ISIS to put their flag down in London?!
Sun Dec 06 04:18:51 CET 2015;younusalgohar;513;92;@David_Cameron In the past Khilafah movement was banned which projected the same ideology as Wahhabism and ISIS. Ban Wahhabi's in UK
Sun Dec 06 04:17:47 CET 2015;Toriious;2;4;You see David Cameron what you've started? #Leytonstone
Sun Dec 06 04:17:43 CET 2015;nyounus7;31;8;@younusalgohar @David_Cameron @niallboylan4fm very true!! Hurry up UK! Before more innocent blood is shed! Ban WAHHABLOODISM!
Sun Dec 06 04:16:39 CET 2015;younusalgohar;492;83;@David_Cameron @niallboylan4fm Wahhabism had better be banned in the UK before it's too late!
Sun Dec 06 04:08:22 CET 2015;SkyNews;24;26;David Cameron's Decade In Charge http://news.sky.com/story/1600675/david-camerons-decade-in-charge …
Sun Dec 06 03:56:46 CET 2015;FactsLondon;7;9;Open letter to @David_Cameron in the wake of #Leytonstone #SyriaVote #SanBernadino #Paris #Libya #Afghanistan #Iraq pic.twitter.com/uRWBvqkDHV
Sun Dec 06 03:48:46 CET 2015;thepreciouspups;2;1;Please sign this petition, for Chunky David Cameron MP: Justice for Chunky - Sign the Petition! https://www.change.org/p/david-cameron-mp-justice-for-chunky?recruiter=171190704&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive&rp_sharecordion_checklist=control … via UKChange
Sun Dec 06 03:25:15 CET 2015;democracynow;38;17;David Cameron Accused Jeremy Corbyn of Being “Terrorist Sympathizer” Before UK War Vote http://owl.li/VuzgD  pic.twitter.com/TNEXDaDylC
Sun Dec 06 03:24:31 CET 2015;mosabbir;2;1;Cameron staff called police on church leaders handing over petition http://www.independent.co.uk/news/uk/politics/david-camerons-constituency-office-calls-police-on-food-bank-campaigners-bishop-of-oxford-and-9274303.html …
Sun Dec 06 03:17:43 CET 2015;TokyoRose_01;12;3;7 Dec. 2015 JULIAN #ASSANGE 5 Years POLITICAL PERSECUTION @David_Cameron @jeremycorbyn #UKpolitics #auspol #svpol pic.twitter.com/Yz5dzj0d5w
Sun Dec 06 03:07:58 CET 2015;RobertCentury;0;2;David Cameron is a tank engine! pic.twitter.com/klQLQFWDRW
Sun Dec 06 03:06:08 CET 2015;FEWeek;3;2;. @bisgovuk report hails ‘substantial impact’ of FE on unemployed - take note @David_Cameron @George_Osborne #loveFE http://bit.ly/1OMKwbs 
Sun Dec 06 02:57:49 CET 2015;FEWeek;12;5;Prime Minister @David_Cameron to unveil plans to ramp up public sector #apprenticeship numbers ... http://bit.ly/1HNPJQG 
Sun Dec 06 02:55:17 CET 2015;Amir_Hali;1;5;David Cameron: we are declaring war, we need you all to fight against 'terrorists' Me: pic.twitter.com/OD6XIeM44B
Sun Dec 06 02:51:16 CET 2015;MrJoonyNen;4;2;How are those #syriaairstrikes working out for you, @David_Cameron??? Making you feel safer, are they? #Leytonstone
Sun Dec 06 02:47:25 CET 2015;ItsTheDoctor;11;27;David Cameron could learn a lot from #DoctorWho. There's always an alternative to violence. Don't be a War Doctor. Be The Doctor.
Sun Dec 06 02:46:07 CET 2015;AlexWood900;1;2;@_linco69 @BasimaFaysal Jihadist does jihad in area notorious for jihadism. Must be David Cameron's fault.
Sun Dec 06 02:41:45 CET 2015;MarcsandSparks;15;6;. @David_Cameron got some explaining to do over #Leytonstone stabbing. Locals report assailant as mentally ill, services Tories been slashing
Sun Dec 06 02:29:01 CET 2015;AmmarahKJ;1;5;I now fear my safety on normal day-to-day journeys. @David_Cameron this the kind of security you're trying to gain us? #Leytonstone.
Sun Dec 06 02:22:56 CET 2015;__laurenC;0;5;Every day I wonder how David Cameron survived piggate, I mean really
Sun Dec 06 02:21:53 CET 2015;SusanTaylor2012;0;1;@smithae1974 @bbcquestiontime 1/2..David Cameron is an American Nazi sympathiser who wanted 2 go 2 war for 1 reason and 1 reason only 2 oust
Sun Dec 06 02:18:40 CET 2015;kevthetab;1;1;Little Piggies (Dedicated to David Cameron) https://youtu.be/U8euRiMd3S4  via @YouTube
Sun Dec 06 02:14:23 CET 2015;Quilladriauxil;0;1;@theordinaryman2 @David_Cameron The sad fact is that a percentage of your liberal fellow Britains are traitors and for #WHITEGENOCIDE
Sun Dec 06 02:12:19 CET 2015;fib45AD;0;1;@m_dacoit @VickiShepherd86 @David_Cameron @RubyLisa_K @LBC Just coincidence then? No causal factor? Evidence of previous 8 incidents?
Sun Dec 06 02:11:41 CET 2015;Amaka_Ekwo;281;11;The Prime Minister David Cameron: Condemn the shootings of peaceful demonstrators in Biafra http://fb.me/7IsTQ4h9n 
Sun Dec 06 02:11:23 CET 2015;theordinaryman2;3;1;The sad fact that we must all face is that #multiculturalism does not work #marr #Leytonstone #Islam @David_Cameron https://twitter.com/DaveBowman4564/status/673305337940832256 …
Sun Dec 06 02:10:16 CET 2015;fib45AD;1;3;Likely because they backed their boss, @David_Cameron #ThanksCameron #IFeelMuchSafer #Leytonstone https://twitter.com/gnasheruk/status/673259444185141248 …
Sun Dec 06 02:09:51 CET 2015;WinStarSports1;0;3;#Sherando swim winners: Jeremy Linaburg (200 free), Ethan Medrano (50 free), David Restrepo (100 fly), Cameron Gregory (100 free)
Sun Dec 06 02:09:33 CET 2015;StGeorge101;0;1;So another tidal wave or as David Cameron stated a swarm of migrants heading to UK & EU Wonder what Merkel thinks ? https://twitter.com/adamaston57/status/672990883667714048 …
Sun Dec 06 02:08:59 CET 2015;daggerandroseH;1;1;and now it's started in london too thnx david cameron pic.twitter.com/UqafFE86LL
Sun Dec 06 02:06:20 CET 2015;papicek;1;0;. @David_Cameron, keeping Britain safe. https://twitter.com/ReutersWorld/status/673307235045482496 …
Sun Dec 06 02:04:51 CET 2015;RossClark97;0;3;Barack omavam goes 12 rounds with david Cameron #boxijglegd
Sun Dec 06 02:04:24 CET 2015;jaime_oe;0;0;Noticias: David Cameron to force public sector to pay for 200,000 apprentices |… http://www.theguardian.com/education/2015/dec/06/david-cameron-force-public-sector-pay-apprenticeships …, see more http://tweetedtimes.com/jaime_oe?s=tnp 
Sun Dec 06 02:01:09 CET 2015;trackdev_co_uk;0;0;10 Years of David Cameron: The Prime Minister on Tech, Science, Privacy and War http://dlvr.it/CwvQVQ 
Sun Dec 06 01:56:20 CET 2015;dezzatyson;0;1;@ChrisCr711 @K_CJohnson @David_Cameron @fbu_lancsfbu @braithwaiteshop @Cumbriapolice Grab bag is by the door, with my Gore-Tex! #Ready
Sun Dec 06 01:55:33 CET 2015;OmbakRinduMovie;0;0;#AutoFollow People are reporting David Cameron's Facebook page for posing a 'credible ... -… http://dlvr.it/CwvM0s  #facebook
Sun Dec 06 01:51:42 CET 2015;ntzm_;0;2;"Bombing Syria will make Britain safer" gg @David_Cameron #Leytonstone
Sun Dec 06 01:50:53 CET 2015;news_worldnews;0;0;10 Years of David Cameron: The Prime Minister on Tech, Science, Privacy and War: Astonishingly, today marks te... http://yubl.a.boysofts.com/Ev3 
Sun Dec 06 01:49:05 CET 2015;southheath;0;0;Retweeted David Cameron ( @DavidCh